Evidence ID,Evidence category,Original filenames,Standardized filenames,SHA-256 hash,Hash status,Verification status,Original preserved,Collection date,Source,Related market event,Confidentiality,Related evidence IDs,Notes
EV-05,Resolution,Screenshot_20260618_064636_Discord.jpg,EV-015_resolution_proposal_alert_june15_yes_proposer_0x3e8379.png,5d15d55eba774d7dd03dfdf82027ecbb88e186dbe05fee71e96d639a9c5cd224,Exact SHA-256,Verified,True,2026-06-18,"Polymarket, Whale Alert Bot",Proposal,Public,EV-021,
EV-07,Resolution,Screenshot_20260618_070233_Discord.jpg,EV-017_resolution_proposal_alert_july31_yes_proposer_0x3e8379.png,67aef225932385b6612c3b17fa96d065433c9b0bd15eb5a5e76fbea0931a036a,Exact SHA-256,Verified,True,2026-06-18,"Polymarket, Whale Alert Bot",Proposal,Public,EV-016; EV-018; EV-019,
EV-09,Resolution,Screenshot_20260618_070246_Discord.jpg,EV-019_resolution_proposal_alert_july31_yes_proposer_0x3e8379_second_capture.png,de1806b098a81b6f0a252c850f5f815bc54c70a2ae967775c76ec89959aab898,Exact SHA-256,Verified,True,2026-06-18,"Polymarket, Whale Alert Bot",Proposal,Public,EV-016; EV-017; EV-018,
EV-010,Resolution,Screenshot_20260618_070256_Discord.jpg,EV-020_resolution_proposal_alert_june30_yes_proposer_0x3e8379.png,a954f79cc5b1e62d07b432880bab40e3e6dcdca9f9724210e992076be62cae44,Exact SHA-256,Verified,True,2026-06-18,"Polymarket, Whale Alert Bot",Proposal,Public,EV-015; EV-016; EV-017; EV-018; EV-019,
EV-011,Resolution,Screenshot_20260618_070304_Discord.jpg,EV-021_resolution_proposal_alert_june15_yes_proposer_0x086cd2.png,57af016c311c2450d614babfb63338c763bd9c594a163a13e90b2619a16f597d,Exact SHA-256,Verified,True,2026-06-18,"Polymarket, Whale Alert Bot",Proposal,Public,EV-015,
EV-012,Resolution,Screenshot_20260618_070311_Discord.jpg,EV-022_resolution_proposal_alert_august31_yes_proposer_0x3e8379.png,1a30819cfb1b9b8bc8cb08f82d16b7960737fb9ebabbf0008a3b8d0e8677d59c,Exact SHA-256,Verified,True,2026-06-18,"Polymarket, Whale Alert Bot",Proposal,Public,EV-015; EV-020; EV-029; EV-030,
EV-014,Resolution,Screenshot_20260618_070317_Discord.jpg,EV-024_resolution_proposal_alert_october31_yes_proposer_0x3e8379.png,06a81a58869f848c779797e8ed965bf5c0092cc646320acd539ec9185dac58b9,Exact SHA-256,Verified,True,2026-06-18,"Polymarket, Whale Alert Bot",Proposal,Public,EV-023; EV-025; EV-026,
EV-016,Resolution,Screenshot_20260618_070325_Discord.jpg,EV-026_resolution_proposal_alert_october31_yes_proposer_0xd9aa1a.png,6486fd2a260cbe15ce48be3a570621bf7821fe0f04a211b550aa311ff41ef197,Exact SHA-256,Verified,True,2026-06-18,"Polymarket, Whale Alert Bot",Proposal,Public,EV-023; EV-024; EV-025,
EV-018,Resolution,Screenshot_20260618_070331_Discord.jpg,EV-028_resolution_proposal_alert_august31_yes_proposer_0x8e0e95.png,1409341148162a425c73966854e9fe00055e274d9ebf6b846dcbe7878d45114d,Exact SHA-256,Verified,True,2026-06-18,"Polymarket, Whale Alert Bot",Proposal,Public,EV-022; EV-027; EV-029; EV-030,
EV-020,Resolution,Screenshot_20260618_070338_Discord.jpg,EV-030_resolution_proposal_alert_december31_yes_proposer_0x8e0e95.png,9ac8ef44a69a6bdffb15f16c12f5693d6c184bbccb9ba8ead338567cd31c06d7,Exact SHA-256,Verified,True,2026-06-18,"Polymarket, Whale Alert Bot",Proposal,Public,EV-027; EV-028; EV-029,
EV-022,Resolution,Screenshot_20260618_070344_Discord.jpg,EV-032_resolution_proposal_and_dispute_alert_june30_august31.png,8e07fef6ed061c966c45935736c6b69236158525bef89c2c342b38ae1d5d7978,Exact SHA-256,Verified,True,2026-06-18,"Polymarket, Whale Alert Bot","Dispute, Proposal",Public,EV-020; EV-031,
