source_zip_path	source_sha256	evidence_register_row	evidence_id	register_original_filename_used	register_standardized_filename_used	original_output_path	standardized_output_path
01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_1775946625_Thread _1492668186179666113/UMA - 💬｜dispute-threads - Will _Donk_ be said during the PGL Bucharest 2026 Grand Final_ - 1775946625 [1492668186179666113].html	ce4e941ea499c098714f5022bf341796d4d81992b7d0d4b53c5119d63f4a2422	105	DCE-002	01_Originals/UMA_1775946625_Thread _1492668186179666113/UMA - 💬｜dispute-threads - Will _Donk_ be said during the PGL Bucharest 2026 Grand Final_ - 1775946625 [1492668186179666113].html	DCE-002_UMA_Donk_thread_original.html	01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_1775946625_Thread _1492668186179666113/UMA - 💬｜dispute-threads - Will _Donk_ be said during the PGL Bucharest 2026 Grand Final_ - 1775946625 [1492668186179666113].html	04_Standardized_Evidence/Discord Exports/01_Originals/UMA_1775946625_Thread _1492668186179666113/DCE-002_UMA_Donk_thread_original.html
01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_1775946625_Thread _1492668186179666113/UMA - 💬｜dispute-threads - Will _Donk_ be said during the PGL Bucharest 2026 Grand Final_ - 1775946625 [1492668186179666113].json	d70275b64d09bf505642e40eddb751496133eee12234328278c9882d4e972ffb	106	DCE-003	01_Originals/UMA_1775946625_Thread _1492668186179666113/UMA - 💬｜dispute-threads - Will _Donk_ be said during the PGL Bucharest 2026 Grand Final_ - 1775946625 [1492668186179666113].json	DCE-003_UMA_Donk_thread_original.json	01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_1775946625_Thread _1492668186179666113/UMA - 💬｜dispute-threads - Will _Donk_ be said during the PGL Bucharest 2026 Grand Final_ - 1775946625 [1492668186179666113].json	04_Standardized_Evidence/Discord Exports/01_Originals/UMA_1775946625_Thread _1492668186179666113/DCE-003_UMA_Donk_thread_original.json
01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.html	cb1474253dcf1b2a5768502c5f2a625348c84828caca2a1717be5dd6726d145c	107	DCE-004	01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.html	DCE-004_UMA_voting_discussion_2025-07-03_to_2025-07-06_original.html	01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.html	04_Standardized_Evidence/Discord Exports/01_Originals/UMA_Channel_719352532354465833/DCE-004_UMA_voting_discussion_2025-07-03_to_2025-07-06_original.html
01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.json	83548a8c3e32727088d56be416202d85536eaf9f858e38409867851824b99fa0	108	DCE-005	01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.json	DCE-005_UMA_voting_discussion_2025-07-03_to_2025-07-06_original.json	01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.json	04_Standardized_Evidence/Discord Exports/01_Originals/UMA_Channel_719352532354465833/DCE-005_UMA_voting_discussion_2025-07-03_to_2025-07-06_original.json
01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Thread_1515853475681009704/UMA - 💬｜dispute-threads - US x Iran permanent peace deal by June 15, 2026_ - 1781475979 [1515853475681009704].html	e8944a8dfea612f7551350a20633cca2fb4e69f535dc7e886f52c7a962b82d0f	109	DCE-006	01_Originals/UMA_Thread_1515853475681009704/UMA - 💬｜dispute-threads - US x Iran permanent peace deal by June 15, 2026_ - 1781475979 [1515853475681009704].html	DCE-006_UMA_US_Iran_June15_thread_original.html	01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Thread_1515853475681009704/UMA - 💬｜dispute-threads - US x Iran permanent peace deal by June 15, 2026_ - 1781475979 [1515853475681009704].html	04_Standardized_Evidence/Discord Exports/01_Originals/UMA_Thread_1515853475681009704/DCE-006_UMA_US_Iran_June15_thread_original.html
01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Thread_1515853475681009704/UMA - 💬｜dispute-threads - US x Iran permanent peace deal by June 15, 2026_ - 1781475979 [1515853475681009704].json	acf69026d4443d129995c58a18cba0a8cb6d3cbdb5d3174c0a4fdabb6efb3e00	110	DCE-007	01_Originals/UMA_Thread_1515853475681009704/UMA - 💬｜dispute-threads - US x Iran permanent peace deal by June 15, 2026_ - 1781475979 [1515853475681009704].json	DCE-007_UMA_US_Iran_June15_thread_original.json	01_ORIGINAL_EVIDENCE/Discord Exports/01_Originals/UMA_Thread_1515853475681009704/UMA - 💬｜dispute-threads - US x Iran permanent peace deal by June 15, 2026_ - 1781475979 [1515853475681009704].json	04_Standardized_Evidence/Discord Exports/01_Originals/UMA_Thread_1515853475681009704/DCE-007_UMA_US_Iran_June15_thread_original.json
01_ORIGINAL_EVIDENCE/Discord Exports/02_Readable_HTML/UMA _719352532354465833_03_07_2025_to_06_07_2025.html	cb1474253dcf1b2a5768502c5f2a625348c84828caca2a1717be5dd6726d145c	107	DCE-004	01_Originals/UMA_Channel_719352532354465833/UMA _719352532354465833_03_07_2025_to_06_07_2025.html	DCE-004_UMA_voting_discussion_2025-07-03_to_2025-07-06_original.html	01_ORIGINAL_EVIDENCE/Discord Exports/02_Readable_HTML/UMA _719352532354465833_03_07_2025_to_06_07_2025.html	04_Standardized_Evidence/Discord Exports/02_Readable_HTML/DCE-004_UMA_voting_discussion_2025-07-03_to_2025-07-06_original.html
01_ORIGINAL_EVIDENCE/Discord Exports/02_Readable_HTML/UMA_1781475979_1515853475681009704.html	e8944a8dfea612f7551350a20633cca2fb4e69f535dc7e886f52c7a962b82d0f	112	DCE-009	02_Readable_HTML/UMA_1781475979_1515853475681009704.html	DCE-009_UMA_US_Iran_June15_thread_readable.html	01_ORIGINAL_EVIDENCE/Discord Exports/02_Readable_HTML/UMA_1781475979_1515853475681009704.html	04_Standardized_Evidence/Discord Exports/02_Readable_HTML/DCE-009_UMA_US_Iran_June15_thread_readable.html
01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/HLpHylzagAAbWDx.png	45e588852ee0c087069eaa5dcc1d468d44d9625792f3648703cf97a42a54d344	113	DCE-010	03_Screenshot_Context/HLpHylzagAAbWDx.png	DCE-010_Davy_Jones_UMA_tokens_force_it_through.png	01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/HLpHylzagAAbWDx.png	04_Standardized_Evidence/Discord Exports/03_Screenshot_Context/DCE-010_Davy_Jones_UMA_tokens_force_it_through.png
01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/HLpICwha8AEY4tZ.png	917440dc050211ea21abba9d03938c580aeb53797976b9ca75c42f303d83eb11	114	DCE-011	03_Screenshot_Context/HLpICwha8AEY4tZ.png	DCE-011_borntoolate_other_whales_same_page.png	01_ORIGINAL_EVIDENCE/Discord Exports/03_Screenshot_Context/HLpICwha8AEY4tZ.png	04_Standardized_Evidence/Discord Exports/03_Screenshot_Context/DCE-011_borntoolate_other_whales_same_page.png
